experimentRun;experimentScenarioNo;Mean_nmrOfExtortions;Sd_nmrOfExtortions;Mean_nmrOfLoots;Sd_nmrOfLoots;Mean_nmrOfExpands;Sd_nmrOfExpands;Mean_nmrOfAlliances;Sd_nmrOfAlliances;Mean_sumOfFights;Sd_sumOfFights;Mean_nmrOfFights;Sd_nmrOfFights;Mean_nmrOfReports;Sd_nmrOfReports;Mean_nmrOfFlees;Sd_nmrOfFlees;Mean_nmrOfRecruits;Sd_nmrOfRecruits;Mean_nmrOfExpels;Sd_nmrOfExpels;Mean_nmrOfDeaths;Sd_nmrOfDeaths;Mean_nmrOfRebels1;Sd_nmrOfRebels1;Mean_nmrOfRebels2;Sd_nmrOfRebels2;Mean_nmrOfRebels3;Sd_nmrOfRebels3;Mean_nmrOfExtorted1;Sd_nmrOfExtorted1;Mean_nmrOfExtorted2;Sd_nmrOfExtorted2;Mean_nmrOfExtorted3;Sd_nmrOfExtorted3;Mean_alive1;Sd_alive1;Mean_alive2;Sd_alive2;Mean_alive3;Sd_alive3
1557301905702;0;3593.917;1015.66693627214;5149.261;179.017502343053;19.35;3.80209888824001;0.071;0.268385973983424;9.744;2.28641459313303;9.744;2.28641459313303;6.552;2.64277889356644;2861.103;114.973280575298;2203.8;863.039137323767;651.276;523.35127436587;2208;618.127424980896;88.161;171.766932085189;75.276;152.189051285995;81.087;159.657464394675;48.577;96.6703534090376;41.224;85.1911694916754;48.392;97.0745270387644;0.34;0.47394580346768;0.311;0.463134422704136;0.352;0.477832946043201
1557301905702;1;3540.712;1124.175180696;5158.37;183.636547237965;19.409;3.77703388719045;0.056;0.23434785878885;9.805;2.39347105762817;9.805;2.39347105762817;6.599;2.56608335480042;2867.379;121.263210105642;2000.203;773.129972090557;608.271;505.217949736285;2067.006;530.280249591767;87.902;186.925759689872;67.325;127.406663219915;69.699;132.904770708493;56.412;125.729870183088;37.632;71.3284818871699;38.192;72.756695036764;0.313;0.463946382943381;0.341;0.474282557073254;0.348;0.476574362637273
1557301905702;2;3733.667;1292.27586568195;5153.271;202.387168874722;19.403;4.13251360175241;0.047;0.211744742168102;9.806;2.43192892130471;9.806;2.43192892130471;6.556;2.71371115416292;2864.455;134.053400886696;1727.667;831.402700597948;556.565;435.485719153437;1864.67;579.750311361299;94.12;194.787863872244;85.23;145.428437832944;27.082;59.2730678518716;69.795;142.83838342259;49.428;83.6280722632686;15.378;34.1523278488817;0.354;0.478448443317473;0.419;0.493642261848277;0.238;0.426072221034812
